Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81061,786,514,11,503,775,0.021400778210075095,0.013994910941458022,0.01692307644493966,0.5389561309578199
58975,460,290,8,282,452,0.027586206896456602,0.01739130434778828,0.021333332858965343,0.3847739723517313
66653,491,331,17,314,474,0.051359516616159034,0.03462321792253641,0.04136252993246844,0.3260034118297707
62809,481,404,9,395,472,0.022277227722717136,0.018711018710979813,0.0203389825545865,0.38737852373363846
62357,495,405,8,397,487,0.019753086419704313,0.01616161616158351,0.017777777282738282,0.3993213137362456
68690,546,387,12,375,534,0.031007751937904372,0.021978021977981727,0.025723472183276305,0.43354133653803245
24833,231,157,16,141,215,0.1019108280248286,0.06926406926376942,0.08247422632188596,0.3998004532747371
19878,148,83,12,71,136,0.14457831325127013,0.08108108108053325,0.1038961034347932,0.48883596396088125
22484,223,110,15,95,208,0.13636363636239668,0.06726457399072976,0.09009008964712459,0.3348041929751741
27845,213,126,15,111,198,0.11904761904667423,0.07042253521093698,0.08849557475364817,0.39055224602700833
76871,608,390,9,381,599,0.023076923076863907,0.014802631578923022,0.01803607166810978,0.5321555704243522
58353,440,260,12,248,428,0.04615384615366864,0.02727272727266529,0.03428571381867755,0.4012761761599935
77644,753,386,16,370,737,0.041450777201965154,0.021248339973411356,0.02809481956942037,0.30491242440800764
42806,211,116,10,106,201,0.08620689655098097,0.047393364928685344,0.0611620790525302,0.3866657415148505
50252,313,170,15,155,298,0.08823529411712804,0.04792332268355296,0.06211180078580645,0.3900410725069411
57809,256,155,11,144,245,0.07096774193502602,0.042968749999832155,0.05352798006521393,0.4587065613429296
58064,588,335,29,306,559,0.08656716417884606,0.049319727891072584,0.06283856941825433,0.3883797589046124
58148,464,332,8,324,456,0.024096385542096095,0.01724137931030767,0.020100502026261974,0.26444565651423046
59875,514,318,9,309,505,0.028301886792363833,0.017509727626425078,0.021634614912311636,0.33491112270484547
67205,811,302,7,295,804,0.023178807946943117,0.008631319358805633,0.012578615956750623,0.28169150901379075
58770,352,332,3,329,349,0.009036144578286037,0.00852272727270306,0.008771929324963268,0.3935734667839621
64352,473,423,11,412,462,0.02600472813232623,0.023255813953439206,0.02455357093007365,0.3896435345409699
77013,464,270,27,241,437,0.10074626865634051,0.058189655172288385,0.07377049133892473,0.4035062143623936
54656,448,371,10,361,438,0.026954177897501472,0.022321428571378747,0.024420023924384405,0.3806429573260757
41720,377,225,11,214,366,0.04888888888867161,0.029177718832813854,0.036544850030093494,0.35339559004058535
64444,478,342,7,335,471,0.020467836257250096,0.01464435146440451,0.01707317024541941,0.44069822398147956
45409,315,314,4,310,311,0.012738853503144144,0.012698412698372387,0.012718600453855915,0.30165155140111577
68078,460,236,12,223,448,0.051063829787016755,0.02608695652168242,0.03453237365302418,0.3194774770157761
61122,534,290,19,271,515,0.06551724137908442,0.03558052434450266,0.04611650439809949,0.3759653271562427
60997,432,241,11,230,421,0.04564315352678157,0.025462962962904023,0.03268944976305779,0.4428693475767647
61259,818,407,23,384,795,0.056511056510917666,0.02811735941316856,0.037551019964385514,0.3762584665657839
58500,562,345,17,328,545,0.04927536231869775,0.030249110320230876,0.037486217830632516,0.3486591076751094
101696,605,823,4,819,601,0.004860267314696403,0.006611570247922956,0.005602240408003441,0.5574325521129385
67444,518,343,8,335,510,0.023323615160281856,0.01544401544398563,0.018583042493899415,0.30814010412977155
56485,459,295,19,276,440,0.06440677966079862,0.04139433551189239,0.05039787750760578,0.3706540176053591
77734,655,394,17,377,638,0.0431472081217179,0.025954198473242818,0.032411820312587866,0.3863757067933283
47225,425,253,10,243,415,0.039525691699448515,0.02352941176465052,0.02949852460583793,0.45948524232889165
111105,745,496,15,481,730,0.030241935483809997,0.020134228187892438,0.024174052703007192,0.4417915955549428
30783,200,199,15,184,185,0.07537688442173178,0.074999999999625,0.0751879694244383,0.4459999553473992
104592,673,546,15,531,658,0.027472527472477158,0.022288261515568664,0.02461033584665009,0.44883737029257625
82327,620,496,11,485,609,0.022177419354793997,0.017741935483842352,0.019713261154883047,0.29999356114229625
68542,398,398,11,387,387,0.027638190954704427,0.027638190954704427,0.027638190454704437,0.32705370771388514
60308,629,453,21,432,608,0.0463576158939374,0.03338632750392149,0.03881700505844418,0.3781662252796688
56606,475,261,4,257,471,0.015325670498025573,0.008421052631561218,0.010869564759632728,0.41905755176013104
75704,512,618,8,610,504,0.01294498381874928,0.015624999999969483,0.014159291539772904,0.41401344839744836
62173,500,412,11,401,489,0.02669902912614879,0.021999999999956,0.024122806522146246,0.33203024706834217
42543,240,149,5,144,235,0.033557046979640556,0.02083333333324653,0.02570694040126619,0.31483468779189194
44430,411,183,8,175,403,0.043715846994296634,0.019464720194599845,0.026936026509602203,0.4801234502269014
39246,320,184,7,177,313,0.03804347826066281,0.02187499999993164,0.027777777314074714,0.47587398903655537
42916,239,165,9,156,230,0.054545454545123974,0.037656903765532816,0.04455445496209931,0.6005843076275882
54668,527,279,19,260,508,0.06810035842269499,0.03605313092972286,0.04714640153233196,0.32256184073614086
85359,811,352,24,328,787,0.06818181818162448,0.02959309494447646,0.04127257051504213,0.4433770408808642
75908,665,370,23,347,642,0.06216216216199416,0.034586466165361526,0.044444443984977954,0.4157047627474803
62199,538,343,9,334,529,0.02623906705531709,0.01672862453528489,0.020431327560771553,0.3113499010502022
70089,547,297,30,267,517,0.10101010100976092,0.054844606946883284,0.07109004693706623,0.41182787326416154
