Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
85798,786,411,120,273,666,0.30534351144960475,0.1526717557249966,0.20356234052213135,2.9038943578665277
28065,460,114,53,61,407,0.4649122806976762,0.11521739130409736,0.18466898922807126,2.478097774953852
21267,491,126,52,69,439,0.4297520661121508,0.1059063136454055,0.16993464020507607,2.5072501929766857
34651,481,138,38,99,443,0.277372262771698,0.07900207900191476,0.12297734593284004,2.466811687776901
21145,495,98,40,58,455,0.4081632653019575,0.08080808080791756,0.13490725098840037,2.376697429117619
33864,546,129,39,88,507,0.30708661417081035,0.07142857142844061,0.11589895957459116,1.8462578505880762
11251,231,64,22,41,209,0.3492063492008063,0.09523809523768295,0.14965986360782543,2.6122923179460624
8054,148,32,14,18,134,0.43749999998632816,0.09459459459395544,0.1555555552614815,2.4303564115792087
9241,223,61,29,29,194,0.49999999999137934,0.1300448430487442,0.20640569362110409,1.6364791559569547
9747,213,33,14,18,199,0.43749999998632816,0.06572769953020785,0.11428571405767597,1.6532637129402967
49273,608,179,46,133,562,0.25698324022202806,0.07565789473671766,0.11689961845386514,2.790174071907862
13981,440,62,26,36,414,0.4193548387029137,0.059090909090774794,0.10358565715360074,2.388242894436937
48396,753,185,50,134,703,0.2717391304333058,0.06640106241691049,0.10672358559663951,2.4386126608907555
30456,211,63,24,38,187,0.3870967741873049,0.11374407582884483,0.1758241754718298,2.200679495217392
29877,313,91,33,55,280,0.37499999999573863,0.10543130990381652,0.1645885283348984,1.7963626268811994
35685,256,67,31,35,225,0.46969696968985303,0.12109374999952699,0.19254658352382242,2.016393805801128
37205,588,198,76,117,512,0.3937823834176488,0.1292517006800523,0.1946222787567205,2.2899826018334437
29474,464,121,34,86,430,0.2833333333309722,0.0732758620688076,0.11643835583746949,2.326696094429918
35396,514,141,29,112,485,0.20567375886378955,0.056420233462925254,0.08854961798248587,2.284128838549427
36554,811,147,48,96,763,0.33333333333101856,0.05918618988895292,0.10052355995311532,2.315906048767923
35063,352,134,28,106,324,0.20895522387903767,0.07954545454522857,0.11522633704868837,1.869317646043952
28940,473,142,32,111,441,0.22377622377465892,0.0676532769554595,0.10389610353926146,1.87968171057723
33725,464,110,34,73,430,0.3177570093428247,0.0732758620688076,0.11908931668277302,2.043647101450137
19969,448,102,33,68,415,0.3267326732640917,0.07366071428554986,0.12021857893428355,2.1849169198556218
21214,377,98,25,71,352,0.26041666666395397,0.06631299734730421,0.1057082449191477,2.4601623779875577
52449,478,194,52,142,426,0.26804123711202044,0.1087866108784335,0.15476190435074758,2.077811233199705
28317,315,128,25,101,290,0.19841269841112372,0.07936507936482741,0.11337868439857876,2.5610355262260738
34378,460,110,32,78,428,0.2909090909064463,0.06956521739115312,0.11228070144251154,1.7481747406182804
28000,534,144,77,64,457,0.5460992907762688,0.1441947565540371,0.22814814781696355,2.6743278312684033
31669,432,124,38,79,394,0.32478632478354885,0.08796296296275935,0.1384335151467978,2.540623626470924
34436,818,202,96,108,722,0.4705882352918109,0.11735941320279052,0.18786692727305734,2.2546620440606024
19417,562,95,47,51,515,0.47959183672980005,0.08362989323828536,0.14242424217093666,2.476881183472144
67273,605,371,92,283,513,0.24533333333267912,0.152066115702228,0.18775510156797376,2.828421448610205
