Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
85798,786,408,36,370,750,0.08866995073869786,0.04580152671749898,0.0604026841144712,1.4132561373164685
28065,460,113,28,85,432,0.24778761061727622,0.06086956521725898,0.09773123877552088,0.7779251047865837
21267,491,129,30,94,461,0.24193548386901664,0.06109979633388778,0.09756097528749288,0.48032985371421083
34651,481,140,16,124,465,0.11428571428489796,0.033264033263964106,0.051529790310822755,1.4980781258838598
21145,495,98,16,82,479,0.163265306120783,0.03232323232316702,0.05396290022982007,0.6756193074022717
33864,546,132,21,110,525,0.16030534351022668,0.03846153846146802,0.06203840441443592,0.7837538830555436
11251,231,61,11,50,220,0.18032786884950283,0.047619047618841476,0.07534246542238225,1.094310344743567
8054,148,32,8,24,140,0.24999999999218753,0.05405405405368883,0.08888888859555555,1.0612261957926816
9241,223,61,21,39,202,0.3499999999941667,0.09417040358702167,0.14840989365775575,0.557016207893564
9747,213,33,13,19,200,0.4062499999873047,0.06103286384947872,0.10612244875162016,0.9352952142977731
49273,608,174,15,159,593,0.0862068965512287,0.02467105263153837,0.038363171009406005,1.2019606925916293
13981,440,61,14,47,426,0.22950819671754905,0.031818181818109505,0.05588822333880741,0.6060013347380735
48396,753,183,25,155,728,0.1388888888881173,0.033200531208455245,0.053590567748495396,0.6660921818407435
30456,211,61,15,45,196,0.24999999999583336,0.07109004739302802,0.11070110666548658,1.0870111114127043
29877,313,92,24,67,289,0.2637362637333655,0.07667731629368474,0.11881188083850847,0.5468667713451757
35685,256,71,20,51,236,0.28169014084110294,0.07812499999969483,0.12232415868069464,1.0017009547436442
37205,588,198,39,157,549,0.1989795918357195,0.0663265306121321,0.09948979554311355,0.7968762279007665
29474,464,118,16,102,448,0.13559322033783394,0.03448275862061534,0.054982817545943016,0.7448447789580734
35396,514,144,19,124,495,0.13286713286620375,0.03696498054467517,0.0578386602376468,1.0032606021622152
36554,811,151,29,120,782,0.19463087248191524,0.035758323057909054,0.06041666640430339,0.8586768485375549
35063,352,138,19,118,333,0.138686131385849,0.053977272727119385,0.077709611048281,0.9615434548846201
28940,473,141,19,121,454,0.13571428571331634,0.040169133192304085,0.06199021171912532,0.6409705476102615
33725,464,111,31,77,433,0.28703703703437927,0.06681034482744222,0.10839160808490633,0.5937711725913464
19969,448,105,18,86,430,0.17307692307525888,0.040178571428481746,0.06521739099829343,0.871150330162689
21214,377,97,9,88,368,0.09278350515368264,0.023872679045029516,0.037974683218617036,0.7857644512777067
52449,478,189,21,168,457,0.11111111111052323,0.04393305439321353,0.06296851533580736,0.7663445761768508
28317,315,128,10,118,305,0.07812499999938965,0.031746031745930964,0.04514672645119211,0.8931498329212649
34378,460,110,17,92,443,0.1559633027508627,0.0369565217390501,0.05975395399585498,0.6017177223926233
28000,534,144,42,102,492,0.29166666666464125,0.07865168539311114,0.12389380497480879,1.3561219850962163
31669,432,126,20,99,412,0.16806722688934397,0.04629629629618913,0.07259528096779655,1.1685435492830583
34436,818,199,51,148,767,0.256281407033888,0.06234718826398246,0.10029498493576941,0.8662241641068598
19417,562,95,26,69,536,0.2736842105234349,0.04626334519564722,0.07914764054385853,1.010925229085302
67273,605,372,37,334,568,0.09973045822075545,0.06115702479328734,0.07581967165973319,1.5269829220868167
38359,518,209,30,179,488,0.14354066985577255,0.05791505791494611,0.0825309486960148,1.203388827918908
24354,459,118,12,106,447,0.10169491525337547,0.026143790849616245,0.04159445374727945,0.6913292181212282
25845,655,118,19,99,636,0.1610169491511778,0.029007633587741975,0.049159120051652724,0.4737031569414778
19950,425,96,18,74,407,0.19565217391091683,0.04235294117637094,0.06963249487157347,0.7354388732852523
56254,745,244,26,217,719,0.10699588477322225,0.034899328859013555,0.05263157857634324,1.039721455528476
4770,200,30,8,22,192,0.2666666666577778,0.0399999999998,0.06956521716385633,0.7766203178682616
54840,673,206,30,176,643,0.1456310679604581,0.04457652303113733,0.06825938530650587,1.0249575889508655
37732,620,148,19,129,601,0.12837837837751095,0.030645161290273153,0.04947916635539416,0.6644170600162297
31760,398,105,17,88,381,0.16190476190321995,0.04271356783908866,0.06759443306898964,0.41778096360819467
62638,629,432,27,405,602,0.062499999999855324,0.04292527821932762,0.050895381232504325,0.9865149807568087
25657,475,98,9,89,466,0.09183673469294044,0.01894736842101274,0.03141361228177834,0.8666041461336591
39871,512,205,20,185,492,0.09756097560928019,0.03906249999992371,0.055788005170310975,0.6742700135718463
26897,500,135,21,112,479,0.1578947368409181,0.041999999999916,0.06635071056833604,0.5689796662616475
16402,240,68,16,52,224,0.23529411764359862,0.06666666666638889,0.10389610355135771,1.2166655495086829
18307,411,66,14,51,397,0.21538461538130177,0.034063260340549725,0.05882352917570263,0.8686689971294163
20727,320,78,19,59,301,0.24358974358662064,0.05937499999981446,0.09547738661905002,1.0414498419112035
11474,239,58,14,43,225,0.2456140350834103,0.0585774058574955,0.09459459428298485,0.6370814698484767
33078,527,163,27,136,500,0.1656441717781249,0.05123339658434301,0.07826086920413779,0.7901189581221985
36580,811,137,34,97,777,0.2595419847308432,0.041923551171341646,0.0721868362784404,1.172057591708886
30937,665,183,56,125,609,0.30939226519166085,0.08421052631566284,0.13238770651913048,1.1468263589778986
35072,538,131,21,106,517,0.16535433070735941,0.03903345724899808,0.06315789442764204,0.9075947491044108
32767,547,116,21,95,526,0.18103448275706005,0.0383912248628183,0.0633484160007007,1.1611665921959453
34193,512,108,25,83,487,0.2314814814793381,0.04882812499990463,0.0806451610023621,0.7828434021814783
26918,376,84,16,69,360,0.18823529411543252,0.04255319148924853,0.06941431640174854,1.0664228880003637
76908,1021,438,58,380,963,0.1324200913238986,0.05680705190983663,0.07950651088884245,0.9434488011533368
26870,609,171,26,144,583,0.15294117646968858,0.04269293924459328,0.0667522461284521,1.006196769648453
33414,643,160,33,124,610,0.210191082801209,0.05132192846026233,0.08249999968432187,0.9215991487116741
33735,640,160,34,125,606,0.21383647798607652,0.053124999999916996,0.08510638265971388,0.7764188687865019
19257,370,98,20,77,350,0.20618556700818363,0.054054054053907966,0.08565310459555503,0.9708770076815038
32934,583,184,24,160,559,0.13043478260798677,0.04116638078895169,0.0625814859454452,0.8896567142926312
31607,523,175,27,147,496,0.15517241379221167,0.05162523900563743,0.07747489202111943,0.709139338982022
46126,853,228,23,204,830,0.10132158590263736,0.026963657678749163,0.042592592260498975,1.0792970913107645
62320,1221,509,104,403,1117,0.20512820512780053,0.08517608517601542,0.12037036995559589,0.7615780045662262
17890,622,110,24,86,598,0.2181818181798347,0.0385852090031534,0.06557377023624175,0.8878128306000098
55362,797,231,45,183,752,0.19736842105176594,0.05646173149302828,0.08780487770268934,1.3932377938956186
28507,790,171,46,125,744,0.2690058479516433,0.058227848101192116,0.09573361052930686,0.8094115495746842
40657,819,190,33,155,786,0.17553191489268336,0.0402930402929911,0.06554121121555666,0.7784559442145891
28285,482,119,23,95,459,0.1949152542356363,0.04771784232355245,0.07666666635043334,1.0702101385998102
107191,1070,234,19,214,1051,0.08154506437733243,0.017757009345777796,0.029163468624152658,1.046223838846027
