Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
85798,786,411,9,402,777,0.021897810218924823,0.011450381679374745,0.015037593534010478,0.45496410949746807
28065,460,114,17,97,443,0.14912280701623576,0.0369565217390501,0.059233449158821894,0.4519912723098493
21267,491,126,23,99,468,0.18852459016238915,0.04684317718931397,0.0750407827151894,0.26140459495850904
34651,481,138,2,136,479,0.014492753623083388,0.004158004157995513,0.006462035194698853,0.15563300052263587
21145,495,98,10,88,485,0.10204081632548938,0.02020202020197939,0.033726812540175004,0.28353792492104607
33864,546,129,8,121,538,0.06201550387548826,0.014652014651987818,0.023703703394458167,0.2546509132493545
11251,231,64,3,61,228,0.04687499999926758,0.012987012986956767,0.020338982710945138,0.39854689356397316
8054,148,32,5,27,143,0.1562499999951172,0.03378378378355552,0.0555555552625926,0.4368964994565875
9241,223,61,13,48,210,0.213114754094867,0.058295964125299124,0.09154929543669411,0.2873986865449637
9747,213,33,6,26,207,0.18749999999414066,0.028169014084374795,0.04897959160922949,0.4094224768500372
49273,608,179,4,175,604,0.02234636871495896,0.006578947368410232,0.01016518389250997,0.4471553667244121
13981,440,62,10,52,430,0.1612903225780437,0.022727272727221075,0.039840637233535973,0.4539498757512952
48396,753,185,18,164,735,0.0989010989005555,0.023904382470087776,0.03850267348318339,0.25855082617095665
30456,211,63,5,58,206,0.0793650793638196,0.023696682464342672,0.036496350010575954,0.4591927435283184
29877,313,91,13,78,300,0.142857142855573,0.0415335463257459,0.06435643529422361,0.14680778272217435
35685,256,67,9,58,247,0.13432835820695033,0.03515624999986267,0.05572755385041552,0.3065306987812926
37205,588,198,23,174,565,0.11675126903494036,0.03911564625843688,0.058598725738546804,0.3346650161634356
29474,464,121,8,113,456,0.06611570247879243,0.01724137931030767,0.027350427022222224,0.21799152472390243
35396,514,141,9,131,505,0.0642857142852551,0.017509727626425078,0.02752293544324739,0.532921829181762
36554,811,147,14,132,797,0.09589041095824734,0.017262638717611266,0.029258097964983312,0.32770206519073275
35063,352,134,9,124,343,0.06766917293182204,0.025568181818109183,0.0371134016636497,0.22736303848913364
28940,473,142,13,129,460,0.09154929577400318,0.027484143763155427,0.04227642240892591,0.282399660235526
33725,464,110,23,84,441,0.21495327102602846,0.04956896551713455,0.0805604200104036,0.3334409881005327
19969,448,102,7,95,441,0.06862745097971934,0.015624999999965123,0.025454545152330584,0.2616125163818305
21214,377,98,5,93,372,0.05102040816274469,0.013262599469460842,0.021052631251359564,0.38036422819466675
52449,478,194,13,181,465,0.06701030927800511,0.027196652719608375,0.038690475779664474,0.26914726295927566
28317,315,128,6,122,309,0.04687499999963379,0.01904761904755858,0.02708803570635265,0.5102430570836985
34378,460,110,10,100,450,0.09090909090826446,0.02173913043473535,0.03508771898664205,0.2191613643549402
28000,534,144,12,132,522,0.08333333333275464,0.02247191011231747,0.0353982297538309,0.3441743659148118
31669,432,124,10,107,422,0.08547008546935496,0.023148148148094565,0.03642987215991985,0.4475734046558041
34436,818,202,28,174,790,0.13861386138545242,0.0342298288508139,0.0549019604665667,0.34149589812614967
19417,562,95,10,85,552,0.1052631578936288,0.01779359430601816,0.03044140005694442,0.26315538323463294
67273,605,371,4,367,601,0.010781671159000588,0.006611570247922956,0.008196720840199654,0.4596567559947382
38359,518,211,6,205,512,0.028436018957211207,0.011583011582989222,0.016460904938422147,0.4473945150091496
24354,459,121,5,116,454,0.041322314049245266,0.010893246187340102,0.017241378980089185,0.2757146014980284
25845,655,114,15,99,640,0.13157894736726686,0.022900763358743664,0.03901170325841576,0.3606839780943576
19950,425,100,8,90,417,0.0816326530603915,0.018823529411720417,0.03059273392096634,0.3500212366510266
