Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92566,786,414,120,271,666,0.30690537084320485,0.1526717557249966,0.2039082408473857,2.8261661048483107
33525,460,149,63,87,397,0.4199999999972,0.13695652173883271,0.20655737667763505,2.4971041887209284
23941,491,141,59,80,432,0.4244604316516226,0.1201629327899793,0.1873015869570824,2.228344646106785
37848,481,157,41,116,440,0.2611464968136233,0.08523908523890802,0.12852664539657135,2.5627669425525736
24743,495,118,42,75,453,0.3589743589712908,0.08484848484831344,0.1372549016510797,2.4560735739902753
39125,546,167,55,108,491,0.3374233128813655,0.10073260073241624,0.155148095555201,2.1893137096185007
13359,231,75,24,51,207,0.3199999999957333,0.10389610389565414,0.156862744726964,2.3139258648138368
9131,148,46,18,27,130,0.39999999999111113,0.12162162162079987,0.18652849704980004,2.0975536780427895
10780,223,65,34,29,189,0.5396825396739733,0.15246636771232078,0.23776223741706198,1.9739345080164474
11301,213,39,16,23,197,0.4102564102458909,0.07511737089166612,0.12698412672149786,2.0357116924441354
54008,608,199,51,146,557,0.25888324872965035,0.08388157894723046,0.12670807416418192,2.7104605918341145
16415,440,80,36,44,404,0.44999999999437496,0.08181818181799587,0.13846153820065088,2.6217752412876774
53548,753,195,55,141,698,0.28061224489652753,0.07304116865860154,0.11591148544650072,2.646693079010162
33049,211,74,29,43,182,0.4027777777721836,0.1374407582931875,0.2049469960856048,1.8352617640234845
33212,313,102,35,65,278,0.3499999999965,0.11182108626162358,0.16949152505590112,1.6439728565355225
40491,256,80,36,42,220,0.46153846153254435,0.1406249999994507,0.2155688619161677,1.854675751742254
41188,588,216,97,118,491,0.451162790695576,0.16496598639427726,0.2415940220232224,2.139370016711642
32942,464,163,44,119,420,0.2699386503050924,0.09482758620669218,0.14035087680776537,2.5110604156998004
39715,514,190,44,147,470,0.23036649214539076,0.08560311284030038,0.12482269464006035,2.6396616318001684
43268,811,189,64,128,747,0.33333333333159726,0.07891491985193722,0.12761714824451867,2.6365767257900297
40228,352,177,37,140,315,0.20903954802141786,0.10511363636333775,0.13988657800409518,2.2677593515324914
31909,473,175,38,136,435,0.21839080459644605,0.08033826638460817,0.11746522371770314,1.8566327172341706
40707,464,130,46,83,418,0.3565891472840575,0.0991379310342691,0.1551433386135152,2.2137539501059003
23301,448,120,51,69,397,0.4249999999964583,0.11383928571403161,0.17957746445483289,1.9570150361987764
23477,377,111,29,80,348,0.26605504586911877,0.07692307692287288,0.11934156343756033,2.4357204608586622
56760,478,216,62,153,416,0.2883720930219146,0.12970711297043994,0.1789321785036762,2.236980359879869
30963,315,159,31,126,284,0.1974522292981054,0.098412698412386,0.13135593175886062,2.9235548412610393
39300,460,131,43,86,417,0.3333333333307494,0.093478260869362,0.14601018641462465,2.408110910709349
31587,534,167,84,80,450,0.5121951219480964,0.15730337078622228,0.2406876787229005,2.4486335854939405
34970,432,130,40,87,392,0.3149606299187798,0.09259259259237826,0.14311270090057313,2.2890730746383925
39293,818,236,111,126,707,0.4683544303777707,0.13569682151572654,0.21042653993560254,2.2679026956557666
22174,562,122,55,68,507,0.44715447154108,0.09786476868309989,0.16058394131073153,2.3475328912154487
72240,605,417,108,313,497,0.2565320665077042,0.17851239669391983,0.21052631530514423,2.7134544031284107
43323,518,248,81,169,437,0.323999999998704,0.1563706563703545,0.2109374995603366,2.330642578683205
27415,459,132,39,92,420,0.29770992366184956,0.0849673202612528,0.13220338948459062,2.733497904633554
28916,655,148,53,98,602,0.35099337748111925,0.0809160305342276,0.13151364733785997,2.5186823621586125
22736,425,107,32,74,393,0.3018867924499822,0.07529411764688167,0.12052730664798322,2.516599862458122
63014,745,263,80,183,665,0.30418250950454684,0.10738255033542633,0.1587301583441693,2.6170944782482306
5150,200,27,16,11,184,0.5925925925706447,0.0799999999996,0.140969162784762,2.0258120325117
58968,673,238,84,154,589,0.3529411764691053,0.12481426448718452,0.18441273287375062,2.5429191527681905
41432,620,176,42,135,578,0.23728813559187975,0.06774193548376171,0.10539523177466316,2.3847224772692877
35262,398,136,34,101,364,0.2518518518499863,0.08542713567817732,0.1275797369570944,2.0633343480194832
68462,629,457,66,392,563,0.14410480349313515,0.10492845786946753,0.1214351421064466,2.457261632315579
29710,475,129,39,93,436,0.2954545454523072,0.08210526315772189,0.12850082338246,2.6157911884015057
45765,512,251,62,188,450,0.24799999999900801,0.1210937499997635,0.16272965835133402,2.201567949943011
30856,500,179,57,123,443,0.31666666666490745,0.113999999999772,0.16764705843376299,2.114640716769213
18458,240,86,30,54,210,0.35714285713860544,0.12499999999947917,0.18518518479995427,2.1143641122797474
21092,411,90,30,60,381,0.3333333333296296,0.07299270072974941,0.11976047874669822,2.2567230236022353
23435,320,94,36,58,284,0.3829787234001811,0.11249999999964844,0.1739130431264207,2.1140538730598264
13773,239,77,27,50,212,0.35064935064479674,0.11297071129659846,0.17088607557969476,2.491616157346594
37009,527,177,55,121,472,0.3124999999982245,0.10436432637551354,0.1564722613596191,2.179834030020607
41861,811,148,69,78,742,0.4693877550988477,0.08508014796536982,0.14405010412403407,2.302683008010149
39205,665,212,114,101,551,0.5302325581370687,0.17142857142831364,0.25909090872106666,2.4804952514811984
40190,538,176,57,116,481,0.3294797687842227,0.10594795539013764,0.16033755237393502,2.320300312961714
37893,547,146,60,85,487,0.41379310344542214,0.10968921389376657,0.17341040429251314,2.547425562198746
38074,512,145,44,103,468,0.2993197278891203,0.08593749999983216,0.1335356597440275,1.9467520642444498
29747,376,102,27,76,349,0.26213592232755206,0.07180851063810689,0.11273486396256989,2.257867554386389
85041,1021,510,164,335,857,0.3286573146285999,0.16062683643471046,0.21578947324289557,2.514092113425303
30424,609,200,83,116,526,0.4170854271335825,0.13628899835774008,0.2054455441826874,2.846430332350165
37551,643,191,84,107,559,0.43979057591392784,0.13063763608066775,0.20143884856724406,2.1978625752893883
37516,640,188,68,116,572,0.3695652173892959,0.10624999999983399,0.1650485433420445,2.1846330840333366
21005,370,105,47,56,323,0.45631067960722027,0.12702702702668373,0.19873150071556214,2.660348250190988
36336,583,222,59,162,524,0.2669683257906472,0.1012006861061729,0.14676616875522572,2.5012178761158514
34333,523,187,51,136,472,0.2727272727258143,0.0975143403439818,0.143661971442559,1.937914653984366
51912,853,275,100,169,753,0.37174721189452886,0.11723329425543115,0.17825311906473193,2.806872303763804
69605,1221,570,248,293,973,0.4584103512006314,0.20311220311203676,0.2814982969634799,2.1534962592703706
22023,622,136,62,71,560,0.46616541353032964,0.09967845659147961,0.16423841030533748,2.6886292548829998
60763,797,250,103,148,694,0.4103585657354169,0.12923462986182027,0.19656488513152462,2.3807717274272284
32765,790,200,96,108,694,0.4705882352918109,0.12151898734161833,0.19315895339572242,2.2398924985359154
47233,819,221,68,151,751,0.310502283103605,0.08302808302798165,0.1310211942718192,2.2887573512007626
32057,482,135,41,93,441,0.305970149251448,0.08506224066372393,0.13311688277602673,2.162841885454653
115119,1070,294,47,247,1023,0.15986394557768754,0.04392523364481876,0.06891495567346127,2.4625047325275777
29393,346,85,16,68,330,0.1904761904739229,0.04624277456634034,0.07441860433644132,1.7526142755265928
45447,704,234,101,134,603,0.42978723404072433,0.1434659090907053,0.21512247033780077,2.455674401472919
38967,348,147,49,98,299,0.3333333333310658,0.14080459770074483,0.19797979756144068,2.2636944541187822
25000,424,129,34,95,390,0.2635658914708251,0.0801886792450939,0.12296564159482555,2.820941295712778
32526,606,213,63,147,543,0.29999999999857146,0.10396039603943241,0.1544117643232591,2.6490170375096693
34526,491,191,63,128,428,0.3298429319354459,0.12830957230116435,0.18475073273403653,2.0573787448287546
38404,396,120,35,85,361,0.29166666666423613,0.0883838383836152,0.13565891437120667,2.628266172271195
58898,892,378,101,279,791,0.2657894736835111,0.11322869955144257,0.15880503102730062,2.523362519861049
40729,545,197,73,123,472,0.3724489795899365,0.1339449541281946,0.197031038746684,2.51948363877747
36754,579,196,73,122,506,0.37435897435705456,0.1260794473227529,0.18863049057865447,2.1563569658199775
30460,506,164,53,112,453,0.3212121212101745,0.10474308300374557,0.15797317399527808,2.337611895937865
40507,609,220,90,122,519,0.42452830188478996,0.14778325123128444,0.21924482300249393,2.427745607192868
38429,540,160,69,90,471,0.4339622641482141,0.12777777777754115,0.1974248923518454,2.183384218581251
34330,691,207,66,140,625,0.3203883495130078,0.09551374819088927,0.14715719028129687,2.1665570745447087
39956,540,231,86,142,454,0.377192982454486,0.15925925925896434,0.22395833291526968,2.4265589473886378
38690,518,234,63,173,455,0.26694915254124174,0.12162162162138683,0.16710875288514657,2.355104812647836
59291,879,326,143,189,736,0.43072289156496774,0.16268486916932573,0.2361684554232582,2.578734167673709
51251,920,365,184,178,736,0.5082872928162755,0.1999999999997826,0.2870514816535591,2.1665456138186854
37852,573,186,71,115,502,0.38172043010547463,0.12390924956348358,0.18708827367429232,1.938777515136984
27150,756,144,70,80,686,0.4666666666635556,0.09259259259247012,0.154525386036821,2.681110264262957
43039,702,224,75,147,627,0.33783783783631605,0.10683760683745465,0.16233766197224098,2.573538412387255
34915,759,166,64,105,695,0.37869822484983023,0.08432147562571236,0.13793103418456684,2.246218273270382
29276,487,162,46,115,441,0.2857142857125111,0.09445585215586354,0.14197530826808508,2.2769229043725088
29587,516,118,43,76,473,0.36134453781208953,0.08333333333317183,0.13543307056115073,2.98543035924172
50608,832,299,122,175,710,0.41077441077302773,0.14663461538443914,0.216120460196482,1.8398222399727344
33749,468,214,40,172,428,0.18867924528212887,0.08547008546990284,0.11764705839404842,2.6280458142081433
33962,709,228,108,114,601,0.48648648648429516,0.15232722143843114,0.23200859254716352,2.6087121647921236
32573,904,228,109,120,795,0.4759825327490132,0.12057522123880468,0.19240953189248491,2.636588697086012
37192,553,266,92,171,461,0.3498098859302289,0.16636528028903008,0.2254901956410305,2.306497303649022
58582,997,533,314,224,683,0.5836431226754951,0.31494483450319466,0.40912052071681276,2.1010251170076915
