Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92566,786,414,40,373,746,0.09685230024189624,0.05089058524166554,0.06672226810540895,1.1138738850636358
33525,460,149,32,117,428,0.2147651006696996,0.06956521739115312,0.10509031161691215,0.7353348444938584
23941,491,141,34,107,457,0.2411347517713395,0.06924643584507283,0.1075949363618661,0.5617918658327159
37848,481,157,13,144,468,0.08280254777017323,0.027027027026970837,0.04075235072600014,1.007856676959622
24743,495,118,20,98,475,0.16949152542229243,0.04040404040395878,0.06525285450130267,0.5132254497130418
39125,546,167,28,138,518,0.16867469879416463,0.05128205128195736,0.07865168503545954,0.772215220955732
13359,231,75,15,60,216,0.1999999999973333,0.06493506493478383,0.09803921531558374,0.8371631316722564
9131,148,46,12,34,136,0.2608695652117202,0.08108108108053325,0.12371133984312892,0.967335189729318
10780,223,65,23,41,200,0.35937499999438477,0.1031390134524523,0.16027874529694422,0.5631081010381933
11301,213,39,12,27,201,0.3076923076844182,0.05633802816874959,0.09523809497571806,0.934682922957171
54008,608,199,21,178,587,0.10552763819042449,0.03453947368415372,0.05204460929372944,1.169081509943552
16415,440,80,19,60,421,0.24050632911087966,0.043181818181720046,0.0732177261385427,0.6721032005601384
53548,753,195,20,175,733,0.1025641025635766,0.026560424966764196,0.04219409250014465,0.7532825072904028
33049,211,74,23,50,188,0.3150684931463689,0.10900473933597629,0.1619718306028318,0.5881092676297396
33212,313,102,26,74,287,0.2599999999974,0.0830670926514918,0.12590798994715335,0.5622528784593105
40491,256,80,26,54,230,0.3249999999959375,0.10156249999960328,0.15476190439817178,0.9038914765526603
41188,588,216,55,157,533,0.2594339622629272,0.09353741496582732,0.13749999961010625,0.6302205702020843
32942,464,163,19,144,445,0.116564417177199,0.040948275861980715,0.060606060221097914,0.7821378859025808
39715,514,190,19,171,495,0.09999999999947369,0.03696498054467517,0.05397727233302396,0.7831851376112897
43268,811,189,27,162,784,0.142857142856387,0.033292231812536016,0.053999999693334,0.8125654369323662
40228,352,177,24,152,328,0.13636363636286158,0.06818181818162448,0.09090909046430212,1.0357966833332346
31909,473,175,28,147,445,0.15999999999908573,0.05919661733602707,0.08641975269189624,0.6565996699453225
40707,464,130,36,94,428,0.27692307692094675,0.07758620689638451,0.12121212086979785,0.41892434910059606
23301,448,120,38,82,410,0.31666666666402776,0.08482142857123924,0.1338028165676701,0.8755172485941566
23477,377,111,11,100,366,0.09909909909820631,0.029177718832813854,0.045081966861487174,0.7107936171077587
56760,478,216,32,183,446,0.14883720930163333,0.06694560669442062,0.09235209192383952,0.8267184095389895
30963,315,159,10,149,305,0.06289308176061074,0.031746031745930964,0.04219409238098418,0.6960987207670425
39300,460,131,21,110,439,0.16030534351022668,0.04565217391294424,0.07106598950242356,0.6256028675289765
31587,534,167,53,114,481,0.3173652694591775,0.09925093632940216,0.15121255313162163,1.1833948308009021
34970,432,130,23,104,409,0.1811023622032984,0.0532407407406175,0.08228980286859042,0.9568647913833409
39293,818,236,56,180,762,0.2372881355922149,0.0684596577016278,0.10626185923479363,0.6664124098419284
22174,562,122,30,92,532,0.2459016393422467,0.05338078291805448,0.0877192979522588,0.7986567612827967
72240,605,417,56,363,549,0.1336515513123302,0.09256198347092139,0.10937499951628306,1.5127444899694207
43323,518,248,33,215,485,0.1330645161284957,0.06370656370644072,0.08616187945745762,1.1571544691648732
27415,459,132,17,114,442,0.1297709923654216,0.03703703703695635,0.057627118298402766,0.5977105681542296
28916,655,148,26,122,629,0.1756756756744887,0.039694656488489015,0.06475716034673212,0.744756879199241
22736,425,107,13,94,412,0.12149532710166826,0.030588235294045675,0.04887218012959325,0.7065504645803171
63014,745,263,28,234,717,0.10687022900722569,0.037583892617399216,0.05561072454043937,0.7382147743473275
5150,200,27,11,16,189,0.40740740739231823,0.054999999999725005,0.09691629934902676,0.6140101542615478
58968,673,238,30,208,643,0.12605042016753762,0.04457652303113733,0.06586169006391211,0.9000022801795126
41432,620,176,16,159,604,0.09142857142804899,0.025806451612861603,0.04025157198360192,0.4701961852804342
35262,398,136,20,116,378,0.14705882352833047,0.05025125628128078,0.07490636666128016,0.2939955284431314
68462,629,457,27,430,602,0.059080962800746,0.04292527821932762,0.04972375641852779,0.6889458887173214
29710,475,129,15,113,460,0.11718749999908448,0.03157894736835457,0.049751243446504355,1.0575218448501296
45765,512,251,28,223,484,0.11155378486011333,0.05468749999989319,0.07339449497115785,0.656757536216074
30856,500,179,36,143,464,0.20111731843463065,0.071999999999856,0.10603829121673777,0.716487876391493
18458,240,86,19,67,221,0.22093023255557057,0.07916666666633682,0.1165644167887764,0.7914839054413441
21092,411,90,15,75,396,0.1666666666648148,0.036496350364874704,0.05988023922597918,0.7390231701924606
23435,320,94,20,74,300,0.21276595744454505,0.06249999999980469,0.09661835713645592,1.0397310357254175
13773,239,77,15,62,224,0.19480519480266487,0.06276150627588803,0.09493670849156785,0.7411526500616258
37009,527,177,30,147,497,0.16949152542277124,0.056925996204825566,0.08522727235061418,0.7862446410496877
41861,811,148,39,109,772,0.263513513511733,0.048088779284774244,0.08133472340929952,1.1841414959011576
39205,665,212,69,143,596,0.3254716981116723,0.10375939849608458,0.15735461764900818,1.0427910571327461
40190,538,176,32,143,506,0.18285714285609797,0.05947955390323517,0.08976157045683747,0.7102430949777572
37893,547,146,32,113,515,0.2206896551708918,0.0585009140766755,0.09248554880141752,0.9280140223325377
38074,512,145,31,114,481,0.21379310344680144,0.06054687499988175,0.09436834059941294,0.7065434997005007
29747,376,102,18,84,358,0.176470588233564,0.04787234042540459,0.07531380719535723,0.8439392935727049
85041,1021,510,68,441,953,0.13359528487203617,0.06660137120463604,0.08888888844476484,0.862533193025233
30424,609,200,24,176,585,0.1199999999994,0.03940886699500918,0.05933250889835457,0.7647162329681955
37551,643,191,48,143,595,0.25130890052224447,0.07465007776038157,0.11510791331565251,0.820346024126251
37516,640,188,35,153,605,0.1861702127649672,0.054687499999914554,0.08454106245072815,0.7697580401944323
21005,370,105,17,88,353,0.16190476190321995,0.04594594594582177,0.07157894702374294,0.7996027953022216
36336,583,222,28,194,555,0.12612612612555799,0.04802744425377697,0.06956521699168396,0.822599733271322
34333,523,187,33,154,490,0.17647058823435044,0.06309751434022352,0.09295774609058918,0.570947052390753
51912,853,275,34,239,819,0.12454212454166835,0.03985932004684659,0.0603907633980973,0.8181275359999731
69605,1221,570,110,458,1111,0.19366197183064496,0.09009009009001631,0.12297372790633275,0.6580888719386105
22023,622,136,27,108,595,0.19999999999851853,0.043408360128547575,0.0713342137093896,0.946040006522998
60763,797,250,58,191,739,0.23293172690669506,0.072772898368792,0.1108986612049015,1.1990049773400657
32765,790,200,56,144,734,0.27999999999860004,0.07088607594927736,0.11313131280866849,0.7301375119187009
47233,819,221,30,191,789,0.1357466063342274,0.036630036629991904,0.05769230735750924,0.6242839733706991
32057,482,135,25,110,457,0.18518518518381347,0.05186721991690484,0.08103727680537132,1.0890241130781713
115119,1070,294,21,273,1049,0.07142857142832848,0.019626168224280722,0.030791788518091955,0.8959374829432805
29393,346,85,10,75,336,0.11764705882214532,0.028901734103962712,0.046403711980125,0.31879819406394333
45447,704,234,49,184,655,0.21030042918364678,0.06960227272717386,0.10458911382035128,1.0006845611308293
38967,348,147,25,122,323,0.17006802720972744,0.07183908045956368,0.10101010059213548,0.9624376578866132
25000,424,129,12,116,412,0.09374999999926759,0.028301886792386082,0.04347826051318001,1.107837965066198
32526,606,213,27,186,579,0.12676056337968658,0.044554455445471035,0.06593406554903461,1.0902828304914522
34526,491,191,40,151,451,0.20942408376853705,0.08146639511185037,0.11730205238232815,0.8417000732243528
38404,396,120,15,105,381,0.12499999999895833,0.03787878787869223,0.05813953452654588,0.641401374537532
58898,892,378,42,336,850,0.11111111111081717,0.047085201793669186,0.06614173186526133,0.8152193542540387
40729,545,197,33,164,512,0.16751269035447963,0.06055045871548523,0.08894878667173661,0.8636076340893276
36754,579,196,37,158,542,0.1897435897426167,0.06390328151975147,0.09560723476494135,0.9263066449271496
30460,506,164,24,139,482,0.1472392638027777,0.04743083003943196,0.07174887855498581,0.5256475745289885
40507,609,220,34,186,575,0.15454545454475208,0.05582922824292967,0.08202653760748269,1.0121717217282755
38429,540,160,39,120,501,0.24528301886638187,0.07222222222208848,0.11158798248084632,0.9406447172698381
34330,691,207,34,173,657,0.16425120772867513,0.0492040520983369,0.07572383038004524,0.776169390561645
39956,540,231,35,195,505,0.15217391304281663,0.06481481481469478,0.09090909048989712,1.011284368376158
38690,518,234,26,208,492,0.11111111111063628,0.050193050192953295,0.06914893574134225,0.6575826146425399
59291,879,326,59,269,820,0.1798780487799394,0.06712172923769383,0.09776304848556028,0.9596659981044533
51251,920,365,110,253,810,0.30303030302946826,0.11956521739117439,0.1714731094926459,0.6519442299319824
37852,573,186,50,136,523,0.26881720429963,0.08726003490386168,0.1317523052949915,0.9768868575978025
27150,756,144,29,115,727,0.20138888888749037,0.03835978835973762,0.06444444417550124,0.7720058406545044
43039,702,224,37,187,665,0.16517857142783404,0.05270655270647763,0.07991360654450505,0.938142069736084
34915,759,166,32,135,727,0.19161676646591846,0.04216073781285618,0.06911447054654125,0.8570903963982857
29276,487,162,26,136,461,0.16049382715950314,0.05338809034896635,0.08012326618908312,1.0359032596681987
29587,516,118,13,105,503,0.11016949152449008,0.025193798449563577,0.041009463419309576,0.49542489702887227
50608,832,299,80,219,752,0.2675585284271988,0.09615384615373058,0.14146772728541912,0.7602883977603838
33749,468,214,14,199,454,0.06572769953020785,0.029914529914465995,0.041116005443700525,0.6441879033840079
33962,709,228,57,169,652,0.252212389379415,0.08039492242583865,0.12192513332300493,0.8284494472166534
32573,904,228,41,186,863,0.18061674008731007,0.04535398230083479,0.0725022101122689,0.796846333973552
37192,553,266,42,224,511,0.15789473684151167,0.07594936708847026,0.10256410212525177,0.7352759169863085
58582,997,533,159,374,838,0.2983114446523484,0.1594784353057578,0.20784313680061603,0.7972361366996901
