Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92566,786,414,13,401,773,0.03140096618349903,0.016539440203541297,0.021666666214680563,0.46674472796805383
33525,460,149,18,131,442,0.12080536912670602,0.03913043478252363,0.059113300122810276,0.4244831356902601
23941,491,141,24,117,467,0.17021276595623963,0.04887983706711022,0.07594936674171307,0.2583160322402735
37848,481,157,4,153,477,0.02547770700620715,0.008316008315991026,0.012539184581887963,0.48969286228378894
24743,495,118,15,103,480,0.12711864406671933,0.030303030302969085,0.048939640798256384,0.2969554726992672
39125,546,167,16,150,530,0.09638554216809407,0.029304029303975635,0.0449438198670149,0.21778012208307929
13359,231,75,6,69,225,0.07999999999893333,0.025974025973913534,0.03921568590420352,0.19824081227757429
9131,148,46,6,40,142,0.1304347826058601,0.04054054054026662,0.06185566974067383,0.39177648512260244
10780,223,65,14,51,209,0.21538461538130177,0.06278026905801444,0.09722222187203414,0.14172721969141186
11301,213,39,6,33,207,0.1538461538422091,0.028169014084374795,0.04761904735704838,0.3436926093397541
54008,608,199,6,193,602,0.030150753768692713,0.009868421052615348,0.014869888104230497,0.4712746961166876
16415,440,80,11,68,429,0.13924050632735138,0.024999999999943182,0.042389209761012174,0.30913931160441394
53548,753,195,12,183,741,0.06153846153814596,0.015936254980058517,0.025316455369378578,0.3490240820138231
33049,211,74,17,56,194,0.23287671232557702,0.08056872037876509,0.11971830947636877,0.23936144147597738
33212,313,102,17,85,296,0.1666666666650327,0.05431309904136002,0.08192771047223109,0.1704397222116971
40491,256,80,13,67,243,0.16249999999796874,0.05078124999980164,0.07738095201768,0.33242896301413
41188,588,216,38,178,550,0.17592592592511147,0.06462585034002614,0.09452736279088388,0.31713175440222563
32942,464,163,9,154,455,0.05521472392604163,0.01939655172409613,0.028708133586430925,0.21454457327428264
39715,514,190,10,180,504,0.05263157894709142,0.019455252918250086,0.028409090514914775,0.33923651360019924
43268,811,189,18,171,793,0.09523809523759134,0.022194821208357342,0.035999999693370005,0.30630553182086256
40228,352,177,8,169,344,0.045197740112739,0.02272727272720816,0.030245746246475684,0.2629517618100026
31909,473,175,18,157,455,0.1028571428565551,0.03805496828744597,0.055555555161127305,0.24590251555676768
40707,464,130,30,100,434,0.23076923076745565,0.06465517241365376,0.10101010066784569,0.22065729611707452
23301,448,120,17,103,431,0.1416666666654861,0.03794642857134387,0.05985915459609949,0.31251287823368523
23477,377,111,6,105,371,0.05405405405356708,0.01591511936335301,0.02459016358288263,0.3149605412060534
56760,478,216,18,197,460,0.08372093023216874,0.0376569037656116,0.05194805151991572,0.3308347039815551
30963,315,159,7,152,308,0.04402515723242752,0.022222222222151675,0.029535864532936325,0.3928077602646937
39300,460,131,13,118,447,0.09923664122061653,0.028260869565155954,0.04399323146529013,0.14759831968263254
31587,534,167,18,149,516,0.10778443113707914,0.0337078651684762,0.05135520648426031,0.20567576532004522
34970,432,130,13,116,419,0.10077519379766842,0.030092592592522935,0.04634581069738594,0.3396765098067466
39293,818,236,39,197,779,0.16525423728743538,0.04767726161363365,0.07400379471872581,0.2623951941261762
22174,562,122,15,107,547,0.12295081967112335,0.02669039145902724,0.04385964882958004,0.26044800685488906
72240,605,417,8,409,597,0.019184652278131452,0.013223140495845912,0.015655576816301656,0.33780679030247013
43323,518,248,10,238,508,0.040322580644998704,0.019305019304982036,0.026109660136465592,0.4209459180605716
27415,459,132,12,120,447,0.09090909090840221,0.026143790849616245,0.04060913670877031,0.2860906370097907
28916,655,148,16,132,639,0.10810810810737766,0.02442748091599324,0.039850560097728166,0.2607760104626014
22736,425,107,8,99,417,0.07476635513948816,0.018823529411720417,0.030075187648460913,0.5310751420428056
63014,745,263,15,248,730,0.05703422053210253,0.020134228187892438,0.029761904376171194,0.3438267238658954
5150,200,27,8,19,192,0.29629629628532234,0.0399999999998,0.07048458128758563,0.2644261991311275
58968,673,238,16,222,657,0.06722689075602006,0.02377414561660658,0.03512623452062064,0.3175916609728222
41432,620,176,12,163,608,0.06857142857103674,0.019354838709646202,0.030188678901866228,0.30667661223529347
35262,398,136,16,120,382,0.11764705882266437,0.04020100502502462,0.05992509325309655,0.14871491352905006
68462,629,457,17,440,612,0.037199124726395624,0.02702702702698406,0.031307550157051584,0.301608912747268
29710,475,129,7,122,468,0.054263565891052225,0.014736842105232134,0.023178807611020355,0.49284882918061357
45765,512,251,15,236,497,0.05976095617506071,0.029296874999942782,0.039318479243855314,0.34284312257304783
30856,500,179,21,158,479,0.11731843575353454,0.041999999999916,0.06185566971465879,0.1886104557557188
18458,240,86,9,77,231,0.10465116278948079,0.03749999999984375,0.05521472353761903,0.2058534244006011
21092,411,90,8,82,403,0.08888888888790124,0.019464720194599845,0.031936127449643636,0.2811061263604689
23435,320,94,8,86,312,0.08510638297781802,0.024999999999921876,0.03864734264398236,0.41428006393534667
13773,239,77,10,67,229,0.12987012986844323,0.041841004183925355,0.06329113887151498,0.3353653071605708
37009,527,177,18,159,509,0.10169491525366274,0.034155597722895344,0.05113636325980195,0.16930752416533984
41861,811,148,13,135,798,0.08783783783724435,0.016029593094924747,0.02711157429575255,0.40735073479859185
39205,665,212,29,183,636,0.13679245282954344,0.0436090225563254,0.06613454923416488,0.288261929368161
40190,538,176,19,156,519,0.10857142857080818,0.035315985130045885,0.05329593230827215,0.2477696299147913
37893,547,146,15,131,532,0.10273972602669357,0.027422303473441642,0.04329004295733255,0.33434171581836236
38074,512,145,19,126,493,0.131034482757717,0.03710937499992752,0.05783866023422735,0.19429462512207915
29747,376,102,10,92,366,0.09803921568531333,0.026595744680780332,0.04184100384821694,0.24608160530003106
85041,1021,510,37,473,984,0.07254901960770088,0.036238981390757846,0.048334421502077896,0.30895257259911746
30424,609,200,15,185,594,0.074999999999625,0.02463054187188074,0.03708281792189537,0.4228849879244636
37551,643,191,25,166,618,0.13089005235533566,0.03888024883353207,0.0599520380160246,0.21165229273919473
37516,640,188,19,169,621,0.10106382978669648,0.029687499999953612,0.045893719455652404,0.31974208920451347
21005,370,105,7,98,363,0.06666666666603174,0.018918918918867787,0.029473683866025484,0.27099091101997413
36336,583,222,14,208,569,0.06306306306277899,0.024013722126888484,0.034782608296118206,0.2492682704319429
34333,523,187,25,162,498,0.1336898395714776,0.04780114722744206,0.07042253482304701,0.33416266646298376
51912,853,275,17,258,836,0.06181818181795703,0.019929660023423296,0.03014184360286046,0.34478188246692826
69605,1221,570,77,493,1144,0.1350877192980086,0.06306306306301142,0.08598548253637192,0.27145895448958285
22023,622,136,12,124,610,0.08823529411699828,0.0192926045015767,0.031662268834747744,0.2628286562921727
60763,797,250,12,238,785,0.047999999999808,0.015056461731474208,0.022922635739582514,0.4026287242926844
32765,790,200,33,167,757,0.164999999999175,0.0417721518986813,0.0666666663441159,0.29266087396493046
47233,819,221,20,201,799,0.09049773755615159,0.024420024419994604,0.038461538126777,0.31377613479173616
32057,482,135,8,127,474,0.05925925925882031,0.01659751037340955,0.025931928345258207,0.24586089801317926
115119,1070,294,10,284,1060,0.03401360544206118,0.00934579439251463,0.014662756260051093,0.3920349314213882
29393,346,85,9,76,337,0.10588235293993079,0.02601156069356644,0.04176334075044816,0.13791797324353583
45447,704,234,23,211,681,0.09829059829017825,0.03267045454540814,0.04904051135250794,0.3579868989183872
38967,348,147,8,139,340,0.05442176870711278,0.022988505747060378,0.032323231905544335,0.17431143218745948
25000,424,129,4,124,420,0.031249999999755862,0.009433962264128693,0.014492753266908222,0.29014184220051875
32526,606,213,13,200,593,0.06103286384947872,0.021452145214486053,0.03174603136108391,0.3409824029022591
34526,491,191,22,169,469,0.11518324607269538,0.044806517311517705,0.06451612862881727,0.37298352660039885
38404,396,120,11,109,385,0.09166666666590277,0.02777777777770763,0.04263565855761372,0.24773074720842844
58898,892,378,20,358,872,0.052910052909912936,0.022421524663651993,0.03149606257397731,0.31742468754113834
40729,545,197,15,182,530,0.07614213197930893,0.027522935779766014,0.040431266456233975,0.21252602358290712
36754,579,196,16,180,563,0.081632653060808,0.027633851468000632,0.041290322202652247,0.3973138542708501
30460,506,164,16,148,490,0.09756097560916122,0.0316205533596213,0.047761193659986635,0.20174139268960348
40507,609,220,13,207,596,0.0590909090906405,0.02134646962229664,0.03136308766791854,0.39466714997151825
38429,540,160,20,140,520,0.12499999999921876,0.03703703703696845,0.05714285679004082,0.3424101349506191
34330,691,207,19,188,672,0.09178743961308315,0.027496382054952972,0.04231625799704615,0.3402933242371544
39956,540,231,12,219,528,0.05194805194782707,0.022222222222181072,0.03112840424949155,0.3235583922123303
38690,518,234,17,217,501,0.07264957264926218,0.03281853281846946,0.04521276552863995,0.315937487471555
59291,879,326,27,299,852,0.0828220858893165,0.03071672354945311,0.0448132776135287,0.3737339791320257
51251,920,365,71,292,849,0.1955922865008386,0.07717391304339438,0.11067809780139228,0.32869919208450926
37852,573,186,21,165,552,0.11290322580584461,0.036649214659621905,0.05533596800929036,0.4490881589236433
27150,756,144,16,128,740,0.11111111111033951,0.021164021163993168,0.035555555286676546,0.4082014198764643
43039,702,224,15,209,687,0.06696428571398677,0.02136752136749093,0.032397407840503996,0.3605874533105912
34915,759,166,19,147,740,0.11445783132461171,0.025032938076383356,0.04108108078648474,0.3494390586724132
29276,487,162,6,156,481,0.03703703703680841,0.012320328542069157,0.018489984217008038,0.3064542539983984
29587,516,118,10,108,506,0.08474576271114621,0.019379844961202753,0.0315457410218631,0.27495070131922794
50608,832,299,45,254,787,0.15050167224029934,0.05408653846147345,0.07957559642788045,0.36760143622729036
