st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.004,0.817,83.055,0.071,7.278,187.402,244.111,194.147,136.584,89.448,0,0,10.115,0.034,0,0,8.371,0.035,0,0,5.372,0.03,0,0,4.481,0.031,0,0,0,0,0,0
0.007,0.745,15.776,0.07,7.222,139.709,17.445,10.793,67.266,45.69,0,0,1.907,0.015,0,0,1.256,0.014,0,0,4.27,0.022,0,0,2.713,0.03,0,0,0,0,0,0
0.007,0.725,13.046,0.067,7.098,114.73,7.683,5.47,79.379,50.795,0,0,0.81,0.012,0,0,0.616,0.011,0,0,4.114,0.026,0,0,3.251,0.025,0,0,0,0,0,0
0.007,0.742,25.19,0.066,7.283,142.226,25.231,19.82,61.711,42.412,0,0,2.036,0.015,0,0,1.656,0.016,0,0,2.866,0.024,0,0,2.46,0.025,0,0,0,0,0,0
0.007,0.735,14.22,0.069,7.074,145.956,7.808,5.432,63.643,41.225,0,0,0.769,0.012,0,0,0.588,0.011,0,0,3.121,0.023,0,0,2.403,0.024,0,0,0,0,0,0
0.007,0.736,22.643,0.066,7.089,144.789,29.85,19.778,78.497,57.633,0,0,3.094,0.017,0,0,2.499,0.016,0,0,4.521,0.025,0,0,4.172,0.024,0,0,0,0,0,0
0.007,0.728,9.471,0.067,6.997,46.815,3.943,2.746,10.631,6.743,0,0,0.39,0.009,0,0,0.348,0.008,0,0,0.784,0.011,0,0,0.555,0.011,0,0,0,0,0,0
0.007,0.72,3.046,0.069,7.188,25.083,1.127,0.826,4.94,3.19,0,0,0.269,0.007,0,0,0.172,0.006,0,0,0.694,0.009,0,0,0.449,0.009,0,0,0,0,0,0
0.007,0.719,5.641,0.066,6.995,36.418,2.4,1.51,8.963,5.69,0,0,0.301,0.007,0,0,0.26,0.007,0,0,0.702,0.011,0,0,0.497,0.009,0,0,0,0,0,0
0.007,0.714,3.96,0.066,7.005,36.512,1.653,1.198,9.759,6.175,0,0,0.23,0.007,0,0,0.179,0.007,0,0,0.938,0.012,0,0,0.652,0.012,0,0,0,0,0,0
0.007,0.743,34.119,0.069,7.168,140.173,77.047,59.304,127.337,83.135,0,0,4.142,0.021,0,0,3.384,0.022,0,0,4.914,0.029,0,0,3.566,0.029,0,0,0,0,0,0
