name,Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
BM-IT STR,56792,560.6,321.9,10.6,310.9,550.0,3.6,2.0,2.6,0.4
ST-IT STR,33944,560.6,160.3,13.1,146.6,547.4,8.9,2.3,3.7,0.3
BM-TH STR,65782,560.6,378.6,13.5,365.0,547.1,4.2,2.6,3.2,0.4
ST-TH STR,38123,560.6,189.6,17.6,171.9,543.0,9.9,3.1,4.7,0.3
BM-IT MOD,56792,560.6,321.9,27.3,293.6,533.3,9.1,5.0,6.4,1.0
ST-IT MOD,33944,560.6,160.3,27.5,131.9,533.0,18.4,4.9,7.6,0.9
BM-TH MOD,65782,560.6,378.6,31.1,347.1,529.4,9.0,5.7,6.9,0.9
ST-TH MOD,38123,560.6,189.6,33.0,156.3,527.6,18.3,5.9,8.8,0.8
BM-IT LOO,56792,560.6,321.9,41.8,276.8,518.8,13.7,7.5,9.6,1.5
ST-IT LOO,33944,560.6,160.3,39.5,118.9,521.1,26.1,7.0,10.9,1.3
BM-TH LOO,65782,560.6,378.6,48.0,327.5,512.6,13.6,8.6,10.4,1.4
ST-TH LOO,38123,560.6,189.6,50.1,137.6,510.5,27.7,8.8,13.1,1.2
